row_idx	col_idx	log2ratio
17	22	262.853309194618
18	22	262.853309194618
19	22	118.595739657244
20	22	118.595739657244
21	22	0
22	22	0
23	22	3719.5509481716
24	22	3074.76362854584
25	22	2971.34409554841
26	22	4048.96269475771
27	22	4223.04935450781
28	22	1260.66862936344
29	22	1442.94416877832
30	22	1316.92438531171
31	22	1064.72707374043
32	22	1299.84831767085
33	22	656.758251265069
34	22	656.758251265069
35	22	100.609483272945
36	22	4220.62002025525
1	23	434.683973446612
2	23	305.268147351587
3	23	3318.18222390432
4	23	3345.54897649693
5	23	1227.45027111915
6	23	1820.66837203758
7	23	3818.9255082585
8	23	4178.84654423341
9	23	3809.60983227262
10	23	3908.86047696963
11	23	2521.66842733794
12	23	2583.23120952325
13	23	3544.64619174045
14	23	3735.69623228158
15	23	3735.69623228158
16	23	3899.63162338349
17	23	3937.96350254798
18	23	3937.96350254798
19	23	3606.83658029863
20	23	3606.83658029863
21	23	3719.5509481716
22	23	3719.5509481716
23	23	0
24	23	644.830687830688
25	23	748.258928571429
26	23	329.428571428571
27	23	503.560948562885
28	23	2461.57987409208
29	23	2281.39449049141
30	23	2409.4651304913
31	23	2664.02157778644
32	23	2428.63985820344
33	23	3069.22596895434
34	23	3069.22596895434
35	23	3798.6469871741
36	23	507.831915550118
1	24	224.141090996312
2	24	348.631801531522
3	24	2674.48081984115
4	24	2701.82064550164
5	24	588.750950415041
6	24	1178.08231009026
7	24	3174.16675238762
8	24	3534.0660547518
9	24	3164.78696927056
10	24	3264.08689206358
11	24	1880.38087569343
12	24	1940.68519067265
13	24	2899.95481226821
14	24	3090.98098997978
15	24	3090.98098997978
16	24	3255.127099019
17	24	3293.63054242419
18	24	3293.63054242419
19	24	2962.06361561599
20	24	2962.06361561599
21	24	3074.76362854584
22	24	3074.76362854584
23	24	644.830687830688
24	24	0
25	24	103.428240740741
26	24	974.259259259259
27	24	1148.38336531373
28	24	1817.14597426083
29	24	1637.42373587847
30	24	1765.66255489135
31	24	2020.15481726999
